transaction_id,store_id,payment_method_id,voucher_id,user_id,original_amount,discount_applied,final_amount,created_at
86652dc6-f350-4aeb-8e41-ce3a94d27825,10,3,,13060.0,9.5,0.0,9.5,2025-01-01 12:52:56
7ce4bf6d-ac0d-4884-a7dc-99ffcdab4362,7,4,,203872.0,64.0,0.0,64.0,2025-01-01 07:00:03
04d07ed4-7b7a-421d-a932-2bf749038bc4,1,4,,137339.0,63.0,0.0,63.0,2025-01-01 07:00:04
bf9589d4-bc46-4c2f-b6a5-fdb337bb5ba3,4,2,,215915.0,27.0,0.0,27.0,2025-01-01 07:00:05
7a913f27-c3ca-486e-be53-316be33a6815,2,3,,1127827.0,41.0,0.0,41.0,2025-01-01 07:00:08
bd61057c-cbfb-42d7-a45e-b205d3c9bda9,8,2,,63253.0,38.0,0.0,38.0,2025-01-01 07:00:11
e1239b67-8841-4522-aa52-6f152cc1369d,6,2,,975811.0,43.0,0.0,43.0,2025-01-01 07:00:21
9bfdb0eb-4001-4071-a3aa-0dbc6d873bfb,8,3,,1006607.0,44.5,0.0,44.5,2025-01-01 07:00:36
d0715b60-f9bc-4630-836c-079a876658d7,1,2,,1038745.0,14.0,0.0,14.0,2025-01-01 07:00:38
eb8d5958-029d-45d0-bb52-26529ff064b3,2,2,,3296.0,46.0,0.0,46.0,2025-01-01 07:00:54
9de81fd2-89c1-4f62-ba70-1f992b084943,2,3,,1127828.0,48.0,0.0,48.0,2025-01-01 07:00:56
0d81ea81-4417-4976-a5d4-21a265ccff50,8,2,,1019870.0,65.0,0.0,65.0,2025-01-01 07:00:59
82e005cd-945d-4d95-a60a-6b565fe5f1a0,1,2,,846704.0,9.0,0.0,9.0,2025-01-01 07:01:00
246423d5-996b-4386-88c3-086cc0a5fd0f,3,4,,1062837.0,12.0,0.0,12.0,2025-01-01 07:01:02
da8eee77-f9b6-4c17-8bf0-84febb07926d,9,3,,1009544.0,29.0,0.0,29.0,2025-01-01 07:01:04
732646f2-0d16-4629-b17a-75e9faa6a877,8,1,,26587.0,16.0,0.0,16.0,2025-01-01 07:01:05
094afb0e-5d61-4129-8604-bb029a12f7f9,8,2,,274453.0,38.0,0.0,38.0,2025-01-01 07:01:18
8f4b7168-3c77-4939-8262-8f2198260934,8,2,,226396.0,29.0,0.0,29.0,2025-01-01 07:01:22
5df15880-587e-4164-a509-dc7312acbf7d,8,2,,584437.0,16.0,0.0,16.0,2025-01-01 07:01:30
88ebe8f3-4276-4f52-abfc-c9d0f01ec067,10,1,,838764.0,24.0,0.0,24.0,2025-01-01 07:01:36
4e3b70e8-db48-4664-bd1e-e8b617346f26,10,1,,451329.0,21.0,0.0,21.0,2025-01-01 07:01:52
f9f14288-b0f7-4924-afd0-5380248cbf2a,3,4,,1127829.0,16.0,0.0,16.0,2025-01-01 07:01:58
64a34795-368b-47bf-86cc-96579625f924,2,3,,1127830.0,40.0,0.0,40.0,2025-01-01 07:02:05
4cd12c86-8d91-4736-8790-c3d376227480,6,5,,352548.0,38.0,0.0,38.0,2025-01-01 07:02:07
f5753e38-693c-46ac-9e49-a4f53844ef5e,5,5,,397082.0,22.0,0.0,22.0,2025-01-01 07:02:09
412c3148-e30d-4370-8fef-8f65b051d0e1,1,3,,148298.0,44.0,0.0,44.0,2025-01-01 07:02:14
bd53e89f-1832-4829-8294-0a5b5cd3b2fb,3,3,,1127831.0,24.0,0.0,24.0,2025-01-01 07:02:25
8ee1d17e-fef5-4c92-ab57-75916829b40d,6,1,,1127832.0,39.0,0.0,39.0,2025-01-01 07:02:28
92665cb3-cd54-4e4a-ac52-367e979812d9,1,1,,783265.0,42.0,0.0,42.0,2025-01-01 07:02:32
85535aed-4cb2-40eb-b977-f8163513ef5d,3,2,,626924.0,16.0,0.0,16.0,2025-01-01 07:02:43
043bb361-86a9-4bb7-84d5-82a1187412b0,8,4,,429515.0,27.0,0.0,27.0,2025-01-01 07:02:44
188a2ca0-1043-4c4b-af5c-567650edf0c9,4,4,,842949.0,16.0,0.0,16.0,2025-01-01 07:02:51
83a2d584-5517-44fe-a535-e1eeab28743d,8,2,,633202.0,21.0,0.0,21.0,2025-01-01 07:03:06
b096a797-c9dd-46b6-9d57-ab00b073989f,2,1,,240273.0,24.0,0.0,24.0,2025-01-01 07:03:07
9af9901b-60a8-4f95-a586-980a725d1049,2,2,,1127833.0,87.0,0.0,87.0,2025-01-01 07:03:20
33ca68cc-d233-4c0d-99d8-ed4c134f88e8,10,4,,882262.0,41.0,0.0,41.0,2025-01-01 07:03:22
e0828e8b-ed25-44d9-93f0-ecb1ee62b75e,7,4,,1127834.0,17.0,0.0,17.0,2025-01-01 07:03:26
53a40e20-a7c1-4174-af60-9f79c35339e3,9,5,,638666.0,42.5,0.0,42.5,2025-01-01 07:03:27
4d7ef36b-6e55-4d4c-996c-111cabefd4f6,9,3,,852242.0,50.5,0.0,50.5,2025-01-01 07:03:33
e03ff24c-965e-4e13-91bc-433e362ddd81,7,4,,889688.0,37.5,0.0,37.5,2025-01-01 07:03:34
2feafa2a-a88c-48a4-8172-54d2d3e4c77d,10,4,,1039906.0,24.0,0.0,24.0,2025-01-01 07:03:37
c02abf37-6bfc-43bc-8bf0-4f9e852aaaca,6,2,,167326.0,37.0,0.0,37.0,2025-01-01 07:03:39
d3d0a822-8cf9-46be-bf74-28c7561ed810,2,2,,917839.0,10.0,0.0,10.0,2025-01-01 07:03:44
9a18de46-3cbe-4282-98fb-f38fe72b62bb,1,4,,631678.0,49.0,0.0,49.0,2025-01-01 07:03:49
eb99c8f0-a644-4442-a580-9a7a17f36f07,2,1,,,57.0,0.0,57.0,2025-01-01 07:04:10
9187164f-813b-4da3-b250-ded1bdb140de,4,2,,32648.0,9.0,0.0,9.0,2025-01-01 07:04:18
74133d1c-0198-41ad-8c41-ed6439d541b6,8,2,,660022.0,22.0,0.0,22.0,2025-01-01 07:04:24
26dbacd9-8efd-4192-9eab-db57afec5626,3,3,,798068.0,29.0,0.0,29.0,2025-01-01 07:04:30
f2ab7ae7-5fe2-4823-ad99-7385c8405407,4,4,,25014.0,51.5,0.0,51.5,2025-01-01 07:04:34
56fb245d-b05b-4594-8be0-763980ee2aa6,2,3,,1127835.0,64.0,0.0,64.0,2025-01-01 07:04:37
07c68a90-bc80-4b78-8dea-d354b094a42c,3,5,,853723.0,48.5,0.0,48.5,2025-01-01 07:04:58
c71abf98-383c-4a7a-a15d-d6b21b3c5baf,7,1,,1127836.0,9.0,0.0,9.0,2025-01-01 07:05:05
3f745133-10c4-4435-801f-20e9b7517b9a,9,3,,,24.0,0.0,24.0,2025-01-01 07:05:06
6688e696-6b1d-4b0b-8b38-9dbcb1649487,6,1,,104301.0,17.0,0.0,17.0,2025-01-01 07:05:15
2f1e6532-47d0-4b30-a7a6-7231bf070d04,9,1,,453119.0,35.0,0.0,35.0,2025-01-01 07:05:26
c31ca284-cda7-4a97-897a-c20f3b18f246,3,1,,187418.0,54.0,0.0,54.0,2025-01-01 07:05:35
a1d7d900-2d22-4308-a89f-d302f81c1947,2,5,,239350.0,39.0,0.0,39.0,2025-01-01 07:05:47
e22a79d9-1e97-46f9-b825-a00855e428c5,6,5,,637282.0,8.0,0.0,8.0,2025-01-01 07:05:56
3a3e02df-d95d-4c8b-83eb-e5888c407ad2,2,5,,674186.0,37.5,0.0,37.5,2025-01-01 07:06:00
