transaction_id,store_id,payment_method_id,voucher_id,user_id,original_amount,discount_applied,final_amount,created_at
d866383d-dece-43c0-b96b-b01cffc4ac4c,7,3,,,9.0,0.0,9.0,2024-10-01 11:19:34
8b2f3704-6b7c-45f9-a1e0-28627ebbe078,9,3,,140170.0,60.0,0.0,78.0,2024-10-01 11:19:35
4dcbca4f-83f9-47aa-89f5-0e4674975198,8,5,,545270.0,16.0,0.0,16.0,2024-10-01 11:19:36
0c4154f8-b84b-4b46-bc02-e907ed4b3dfc,2,5,,8112.0,344.0,0.0,80.0,2024-10-01 11:19:37
1b75a188-0493-4a8e-ad3a-48d36711f92f,9,1,,316010.0,79.0,0.0,79.0,2023-05-01 11:19:40
e3f1a6b2-7c4d-4f89-b2a1-9c5d3e7f2a1b,9,1,,316010.0,80.0,0.0,15.0,2023-06-01 11:17:50
a7b9c8d1-3f2e-4a5b-9d1c-8e7f6b2a3d4e,9,1,,316010.0,70.0,0.0,20.0,2023-08-01 09:20:40
c2d4e6f8-1a3b-4c5d-8e7f-1b2c3d4e5f6a,9,1,,316010.0,15.0,0.0,30.0,2023-10-01 12:10:40
e210bb5c-e2f6-4216-8361-2a11f4e8e689,8,1,,635205.0,69.0,0.0,69.0,2024-10-02 10:30:11
84d56a9e-4845-45e7-9b73-b3aeae6e4a01,8,1,,,18.0,0.0,18.0,2024-10-02 10:30:13
278e261a-7111-4c3f-bd3a-5763d9ee49b2,5,5,,27012.0,24.0,0.0,24.0,2024-10-02 10:30:14
70f968bf-7946-4c40-bdc4-79d84c45caa7,4,2,,,62.0,0.0,62.0,2024-10-02 10:30:15
402535df-9eeb-44b5-ab53-03686b98a706,6,4,,635206.0,14.0,0.0,14.0,2024-10-02 10:30:18
efda5510-226e-4d80-ba39-bcf9e94ee918,2,4,,635207.0,40.0,0.0,40.0,2024-10-02 10:30:19
e9a19473-d9e6-4b0a-8f58-4b45cdcbf443,3,4,,,16.0,0.0,16.0,2024-10-02 10:30:20
2bed4abc-a0fe-4396-87ee-edb194e5859a,4,2,,438440.0,54.5,0.0,54.5,2024-10-02 10:30:21
233e387e-04ed-403d-ac2c-080dd03b8d4c,3,3,,635208.0,79.5,0.0,79.5,2024-10-02 10:30:22
