transaction_id,store_id,user_id,final_amount,created_at
d866383d-dece-43c0-b96b-b01cffc4ac4c,7,1,90.0,2024-10-01 11:19:34
8b2f3704-6b7c-45f9-a1e0-28627ebbe078,9,2,78.0,2024-10-01 11:19:35
4dcbca4f-83f9-47aa-89f5-0e4674975198,8,3,16.0,2024-10-01 11:19:36
0c4154f8-b84b-4b46-bc02-e907ed4b3dfc,2,4,80.0,2024-10-01 11:19:37
e210bb5c-e2f6-4216-8361-2a11f4e8e689,8,5,69.0,2024-10-02 10:30:11
84d56a9e-4845-45e7-9b73-b3aeae6e4a01,8,3,18.0,2024-10-02 10:30:13
278e261a-7111-4c3f-bd3a-5763d9ee49b2,5,6,24.0,2024-10-02 10:30:14
70f968bf-7946-4c40-bdc4-79d84c45caa7,4,6,62.0,2024-10-02 10:30:15
402535df-9eeb-44b5-ab53-03686b98a706,6,1,14.0,2024-10-02 10:30:18
efda5510-226e-4d80-ba39-bcf9e94ee918,2,1,40.0,2024-10-02 10:30:19
e9a19473-d9e6-4b0a-8f58-4b45cdcbf443,3,4,16.0,2024-10-02 10:30:20
