transaction_id,final_amount
bb95f837-d7e3-4251-a99a-5f152748fd78,78.0
3b4cc1e2-6d69-4b12-bd41-1e115cf0a37e,78.0
af10a85a-7e6f-45e8-88db-5f6292ff5e18,75.0
48f20dc3-f4b0-497f-9e91-e87f79dbd6f1,75.0
ee80909a-33ab-48b0-85bc-c0b1b01b1874,81.0
b1e73a37-2503-4b2f-839b-2f47db04cbfc,76.5
66e866a6-688b-4f61-8112-528236ff3296,78.0
b66942aa-2116-48b6-8bf8-d284a4448f4f,75.0
1364b178-b450-4b56-a605-ad774e82ef61,77.0
a1a7e6c2-e00f-4021-9ebe-d61a2b4471c3,81.0
a21825f8-490d-4a55-94dd-2c52bd22d534,81.0
12df2ceb-b196-4971-9760-1fa6b2f4182d,75.0
af1a5752-9061-4716-bef1-4460ac9feec4,76.5
19542585-58f6-4b89-beb4-f8e3444dae62,76.5
122ea829-d40f-47a1-8c12-058b312b925b,79.5
c1301ec2-d3cd-4769-9e0e-d878d9ed0805,75.0
7873eb30-4807-4a55-a90b-50c079352e9d,76.5
fba73c7f-f4cd-49eb-b53b-b29cdd330915,78.0
e97f756c-2349-4470-aef2-6039826aff6f,81.0
363fed43-a1ee-422f-a828-bdf142e6b573,81.0
0aa0ae92-92ec-46f2-90a0-b4103b890618,76.5
18a1d229-f2bf-4555-a691-d0bcb9d48771,79.5
5fa2c7c7-c1cd-4a9e-8653-5b8f9e6ff873,79.5
a9ededc9-62e6-4083-a578-c083a43b9a58,81.0
413eb2c9-8fd7-4ba5-b60e-e4a97448f276,84.0
0423dba9-5012-45a2-abb6-fd4e426ec0f1,81.0
ed82165a-2bd3-42f6-a6c0-353c1d8b3941,76.5
13d55964-bada-436c-98be-9636c9208fa9,75.0
32dd97b9-de1e-43b5-a979-551b204a6616,78.0
438d9e25-13b4-451c-80a5-20a7b49c6dad,75.0
2aaf33de-5797-4c8a-ab11-96805dea153e,84.0
f23b18d1-b1d5-4d7d-80ac-d1b43396462a,79.5
685b86ab-f851-4155-ad28-c92594e25052,78.0
746f76aa-e0e9-4865-841d-449a34c7c256,78.0
50dddbba-1125-4383-973f-ae543fc6ae76,78.0
08044021-b503-46d0-93ec-5077cf329bc5,85.5
